search URL:,https://patents.google.com/?assignee=AXSOME+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9289441-B2,Osteoclast inhibitors such as zoledronic acid for low back pain treatment ,Antecip Bioventures Ii Llc,"Herriot Tabuteau, Jaro I. Karppinen",2014-08-08,2015-03-04,2016-03-22,2016-03-22,https://patents.google.com/patent/US9289441B2/en,https://patentimages.storage.googleapis.com/86/0c/d7/68dd5ac3793bc1/US09289441-20160322-D00001.png
US-9079927-B1,Substituted imidazolium compounds for treating disease ,Antecip Bioventures Ii Llc,"Herriot Tabuteau, Eric K. H. Dinkla",2014-05-27,2015-01-29,2015-07-14,2015-07-14,https://patents.google.com/patent/US9079927B1/en,
US-8865757-B1,Therapeutic compositions comprising imidazole and imidazolium compounds ,Antecip Bioventures Ii Llp,"Herriot Tabuteau, Eric K. H. Dinkla",2014-05-28,2014-05-28,2014-10-21,2014-10-21,https://patents.google.com/patent/US8865757B1/en,
US-9943531-B2,Osteoclast inhibitors such as zoledronic acid for low back pain treatment ,Antecip Bioventures Ii Llc,"Herriot Tabuteau, Jaro I. Karppinen",2014-08-08,2017-04-11,2018-04-17,2018-04-17,https://patents.google.com/patent/US9943531B2/en,https://patentimages.storage.googleapis.com/32/47/23/ed58d37cbeaf16/US09943531-20180417-D00001.png
US-10092581-B2,Osteoclast inhibitors such as zoledronic acid for low back pain treatment ,Antecip Bioventures Ii Llc,"Herriot Tabuteau, Jaro I. Karppinen",2014-05-15,2018-01-24,2018-10-09,2018-10-09,https://patents.google.com/patent/US10092581B2/en,https://patentimages.storage.googleapis.com/f1/7e/ad/634007f91da151/US10092581-20181009-D00001.png
US-9821075-B2,Pharmaceutical compositions comprising meloxicam ,"Axsome Therapeutics, Inc.",Herriot Tabuteau,2015-02-10,2016-04-18,2017-11-21,2017-11-21,https://patents.google.com/patent/US9821075B2/en,https://patentimages.storage.googleapis.com/90/61/45/cf7c672165e802/US09821075-20171121-D00001.png
AU-2016218992-B2,Pharmaceutical compositions comprising meloxicam ,"Axsome Therapeutics, Inc.",Herriot TABUTEAU,2015-02-10,2016-04-11,2019-02-14,2019-02-14,https://patents.google.com/patent/AU2016218992B2/en,
US-10265400-B2,Pharmaceutical compositions comprising meloxicam ,"Axsome Therapeutics, Inc.",Herriot Tabuteau,2015-02-10,2018-05-24,2019-04-23,2019-04-23,https://patents.google.com/patent/US10265400B2/en,https://patentimages.storage.googleapis.com/80/1a/8e/b0f657032e5191/US10265400-20190423-D00001.png
US-10265324-B2,Pharmaceutical compositions comprising meloxicam ,"Axsome Therapeutics, Inc.",Herriot Tabuteau,2017-01-04,2018-11-05,2019-04-23,2019-04-23,https://patents.google.com/patent/US10265324B2/en,https://patentimages.storage.googleapis.com/f0/8c/95/7e2e25fac13d62/US10265324-20190423-D00000.png
US-2018280308-A1,Pharmaceutical compositions comprising meloxicam ,"Axsome Therapeutics, Inc.",Herriot Tabuteau,2017-01-04,2018-06-07,2018-10-04,,https://patents.google.com/patent/US20180280308A1/en,https://patentimages.storage.googleapis.com/6d/91/f6/0f95e02e513aa1/US20180280308A1-20181004-D00001.png
US-2018280306-A1,Pharmaceutical compositions comprising meloxicam ,"Axsome Therapeutics, Inc.",Herriot Tabuteau,2017-01-04,2018-06-06,2018-10-04,,https://patents.google.com/patent/US20180280306A1/en,https://patentimages.storage.googleapis.com/64/48/c3/44d7ac6f376209/US20180280306A1-20181004-D00001.png
US-10307484-B2,Pharmaceutical compositions comprising meloxicam ,"Axsome Therapeutics, Inc.",Herriot Tabuteau,,2018-06-05,2019-06-04,2019-06-04,https://patents.google.com/patent/US10307484B2/en,https://patentimages.storage.googleapis.com/91/15/7d/ccd4427710c1fc/US10307484-20190604-D00001.png
WO-2018209150-A1,Pharmaceutical compositions comprising meloxicam ,"Axsome Therapeutics, Inc.",Herriot TABUTEAU,2017-05-10,2018-05-10,2018-11-15,,https://patents.google.com/patent/WO2018209150A1/en,
MX-2017010304-A,Pharmaceutical compositions comprising meloxicam. ,Axsome Therapeutics Inc,Tabuteau Herriot,2015-11-25,2016-04-11,2018-06-19,,https://patents.google.com/patent/MX2017010304A/en,
