search URL:,https://patents.google.com/?assignee=CELLECTAR+BIOSCIENCES+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7169412-B2,"Methods for production of the oxidized glutathione composite with cis-diamminedichloroplatinum and pharmaceutical compositions based thereof regulating metabolism, proliferation, differentiation and apoptotic mechanisms for normal and transformed cells ","Novelos Therapeutics, Inc.","Leonid A. Kozhemyakin, Mark B. Balasovski",1998-11-23,2003-12-29,2007-01-30,2007-01-30,https://patents.google.com/patent/US7169412B2/en,
US-9579406-B2,"Phospholipid ether analogs as agents for detecting and locating cancer, and methods thereof ","Cellectar Biosciences, Inc.","Jamey P. Weichert, Marc LONGINO, Anatoly PINCHUK",2004-03-02,2014-09-30,2017-02-28,2017-02-28,https://patents.google.com/patent/US9579406B2/en,https://patentimages.storage.googleapis.com/a9/76/a1/50afd26c4a07a0/US09579406-20170228-D00001.png
US-9550002-B2,Phospholipid analogs as diapeutic agents and methods thereof ,"Cellectar Biosciences, Inc.","Jamey P. Weichert, Marc LONGINO, Anatoly PINCHUK",2004-03-02,2014-09-30,2017-01-24,2017-01-24,https://patents.google.com/patent/US9550002B2/en,https://patentimages.storage.googleapis.com/e0/05/43/a025209b8e75a0/US09550002-20170124-D00001.png
US-6312734-B1,"Methods for production of the oxidized glutathione composite with cis-diamminedichloroplatinum and pharmaceutical compositions based thereof regulating metabolism, proliferation, differentiation and apoptotic mechanisms for normal and transformed cells ","Novelos Therapeutics, Inc.","Leonid A. Kozhemyakin, Mark B. Balasovski",1998-11-23,1999-02-01,2001-11-06,2001-11-06,https://patents.google.com/patent/US6312734B1/en,https://patentimages.storage.googleapis.com/80/ec/01/19de28d67fa3c6/US6312734-drawings-page-3.png
US-2016228588-A1,Ether and alkyl phospholipid compounds for treating cancer and imaging and detection of cancer ,"Cellectar Biosciences, Inc.","Jamey P. Weichert, Anatoly PINCHUK, Irawati Kandela, Marc LONGINO, William R. Clarke",2009-06-12,2016-04-15,2016-08-11,,https://patents.google.com/patent/US20160228588A1/en,
US-9345718-B1,Phospholipid ether analogs as cancer-targeting drug vehicles ,"Cellectar Biosciences, Inc.","Jamey P. Weichert, Anatoly PINCHUK, Kevin Kozak, Marc LONGINO, Joseph Grudzinski, Benjamin Titz, Chorom Pak, Nathan Stehle",2014-11-17,2015-11-06,2016-05-24,2016-05-24,https://patents.google.com/patent/US9345718B1/en,https://patentimages.storage.googleapis.com/14/66/a1/d1fe5a29a72a6d/US09345718-20160524-D00001.png
US-9616140-B2,"Fluorescent phospholipid ether compounds, compositions, and methods of use ","Cellectar Biosciences, Inc.","Anatoly PINCHUK, Jamey P. Weichert, Marc LONGINO, Irawati Kandela, William R. Clarke",2009-05-11,2014-09-23,2017-04-11,2017-04-11,https://patents.google.com/patent/US9616140B2/en,https://patentimages.storage.googleapis.com/39/41/35/688cba2e7c6bb6/US09616140-20170411-D00001.png
US-7371411-B2,"Methods for production of the oxidized glutathione composite with CIS-diamminedichloroplatinum and pharmaceutical compositions based thereof regulating metabolism, proliferation, differentiation and apoptotic mechanisms for normal and transformed cells ","Novelos Therapeutics, Inc.","Leonid A. Kozhemyakin, Mark B. Balasovski",1998-11-23,2006-12-27,2008-05-13,2008-05-13,https://patents.google.com/patent/US7371411B2/en,
US-732578-A,Liquid-level indicator. ,Leonard Murphy,Leonard Murphy,1903-03-24,1903-03-24,1903-06-30,1903-06-30,https://patents.google.com/patent/US732578A/en,https://patentimages.storage.googleapis.com/6a/5d/14/cc2083a1fd803a/US732578-drawings-page-1.png
US-2017356914-A1,Phospholipid ether analogs for the identification and isolation of circulating tumor cells ,"Cellectar Biosciences, Inc.","Jamey P. Weichert, Chorom Pak, Anatoly PINCHUK, Kevin Kozak, Marc LONGINO",2016-06-14,2017-06-14,2017-12-14,,https://patents.google.com/patent/US20170356914A1/en,https://patentimages.storage.googleapis.com/19/24/58/87d4dc2d13cb0c/US20170356914A1-20171214-D00000.png
