search URL:,https://patents.google.com/?assignee=KINDRED+BIOSCIENCES+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2018071256-A1,Compositions and methods for treatment and prevention of pyrexia in horses ,"Kindred Biosciences, Inc.",Emily Sundman,2015-03-03,2016-03-02,2018-03-15,,https://patents.google.com/patent/US20180071256A1/en,https://patentimages.storage.googleapis.com/a1/d6/b1/59cd54dfa3dae8/US20180071256A1-20180315-D00000.png
US-2018021251-A1,Stimulation of appetite and treatment of anorexia in dogs and cats ,"Kindred Biosciences, Inc.","William Buhles, Richard Cortez, Kristin Maas, Geeta Srivastava, Daniel Perez",2015-02-27,2016-02-26,2018-01-25,,https://patents.google.com/patent/US20180021251A1/en,https://patentimages.storage.googleapis.com/4a/e1/25/a5e824dc2057dd/US20180021251A1-20180125-D00000.png
US-10150810-B2,Anti-IL31 antibodies for veterinary use ,"Kindred Biosciences, Inc.","Shyr Jiann Li, Lam Nguyen, Hangjun Zhan",2017-02-24,2017-12-15,2018-12-11,2018-12-11,https://patents.google.com/patent/US10150810B2/en,https://patentimages.storage.googleapis.com/28/8b/f6/dbe38556768e43/US10150810-20181211-D00001.png
US-2019169285-A1,Anti-IL31 Antibodies for Veterinary Use ,"Kindred Biosciences, Inc.","Shyr Jiann Li, Lam Nguyen, Hangjun Zhan",,2018-11-09,2019-06-06,,https://patents.google.com/patent/US20190169285A1/en,https://patentimages.storage.googleapis.com/42/bf/46/3933de96dc4c4b/US20190169285A1-20190606-D00001.png
WO-2015042596-A1,Treatment of atopic dermatitis in non-human animals ,"Kindred Biosciences, Inc","Richard Chin, Noe REYES",2013-09-23,2014-09-23,2015-03-26,,https://patents.google.com/patent/WO2015042596A1/en,
US-2014180709-A1,Methods for drug delivery ,"Kindred Biosciences, Inc.",Richard Chin,2012-12-24,2013-12-19,2014-06-26,,https://patents.google.com/patent/US20140180709A1/en,
WO-2015069988-A1,Treatment of pain in animals ,"Kindred Biosciences, Inc.","Richard Chin, William C. BUHLES, Noe REYES, Kevin Schultz",2013-11-07,2014-11-07,2015-05-14,,https://patents.google.com/patent/WO2015069988A1/en,
WO-2018226747-A1,Erythropoietin and analogs for veterinary use ,"Kindred Biosciences, Inc.","Hangjun Zhan, Lam Nguyen, Yongzhong Li, Qingyi CHU, Estela GARCIA-MURILLO, Victoria LEITMAN, Stephen SUNDLOF, Richard Chin, Shyr Jiann Li",2017-06-06,2018-06-05,2018-12-13,,https://patents.google.com/patent/WO2018226747A1/en,
WO-2019035010-A1,Igg fc variants for veterinary use ,"Kindred Biosciences, Inc.","Hangjun Zhan, Lam Nguyen, Yongzhong Li, Fawn Qian, Shyr Jiann Li",2017-08-15,2018-08-15,2019-02-21,,https://patents.google.com/patent/WO2019035010A1/en,
WO-2018195388-A1,Il4/il13 receptor molecule for veterinary use ,"Kindred Biosciences, Inc.","Hangjun Zhan, Lam Nguyen, Fawn Qian, Shyr Jiann Li",2017-04-21,2018-04-20,2018-10-25,,https://patents.google.com/patent/WO2018195388A1/en,
WO-2018236728-A1,Il17a antibodies and antagonists for veterinary use ,"Kindred Biosciences, Inc.","Shyr Jiann Li, Lam Nguyen, Lan Yang, Hangjun Zhan",2017-06-18,2018-06-18,2018-12-27,,https://patents.google.com/patent/WO2018236728A1/en,
WO-2018156367-A1,Anti-il31 antibodies for veterinary use ,"Kindred Biosciences, Inc.","Shyr Jiann Li, Lam Nguyen, Hangjun Zhan",2017-02-24,2018-02-09,2018-08-30,,https://patents.google.com/patent/WO2018156367A1/en,
WO-2014093387-A1,Vegf receptor fusion proteins for veterinary use ,"Kindred Biosciences, Inc.",Richard Chin,2012-12-10,2013-12-10,2014-06-19,,https://patents.google.com/patent/WO2014093387A1/en,
